epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.4517,1.59434,1.73434,1.70878,0.18391,0.27944,0.1082,0.04561,2.01137,5.17565,2.44992,0.000664783,0.000664783,0.000664783
2,167.496,1.68874,1.8728,1.78077,0.42447,0.38313,0.36051,0.18808,1.77578,2.03854,1.96337,0.00130509,0.00130509,0.00130509
3,247.97,1.63815,1.75434,1.7157,0.67718,0.51142,0.59526,0.29922,1.73362,1.55633,1.84406,0.00191899,0.00191899,0.00191899
4,326.243,1.54986,1.63765,1.66321,0.64655,0.55712,0.60674,0.32728,1.59129,1.58207,1.74193,0.0018812,0.0018812,0.0018812
5,405.388,1.53448,1.54249,1.63085,0.73088,0.5632,0.65354,0.35697,1.67672,1.43591,1.79108,0.0018416,0.0018416,0.0018416
6,483.072,1.43561,1.40945,1.56583,0.77251,0.60984,0.71193,0.41126,1.48917,1.28629,1.63017,0.001802,0.001802,0.001802
7,563.906,1.41142,1.36015,1.54627,0.83509,0.61687,0.74211,0.45651,1.41544,1.25637,1.58254,0.0017624,0.0017624,0.0017624
8,645.965,1.39384,1.28299,1.53793,0.83799,0.65202,0.76831,0.46667,1.43305,1.13541,1.58988,0.0017228,0.0017228,0.0017228
9,727.664,1.36386,1.23795,1.51536,0.79351,0.69069,0.8005,0.48961,1.40762,1.04873,1.55122,0.0016832,0.0016832,0.0016832
10,808.148,1.32191,1.18068,1.48271,0.78367,0.64304,0.74776,0.47571,1.37248,1.14285,1.5302,0.0016436,0.0016436,0.0016436
11,885.518,1.30872,1.13612,1.46191,0.80851,0.6901,0.80314,0.48501,1.43662,1.05694,1.59493,0.001604,0.001604,0.001604
12,963.871,1.28736,1.08461,1.45174,0.79488,0.74692,0.81631,0.5039,1.36512,0.97398,1.5305,0.0015644,0.0015644,0.0015644
13,1040.59,1.26034,1.04915,1.43693,0.82403,0.69953,0.81277,0.49944,1.38933,0.99857,1.53953,0.0015248,0.0015248,0.0015248
14,1118.06,1.2476,1.03554,1.42929,0.7848,0.7065,0.79845,0.49652,1.38726,1.02462,1.52634,0.0014852,0.0014852,0.0014852
15,1196.9,1.23731,1.01863,1.41167,0.84706,0.73462,0.84037,0.51706,1.36742,0.96358,1.54013,0.0014456,0.0014456,0.0014456
16,1280.49,1.22304,0.97856,1.4084,0.85867,0.76098,0.85228,0.51451,1.41742,0.9275,1.57058,0.001406,0.001406,0.001406
17,1362.95,1.21942,0.97742,1.39229,0.88766,0.74517,0.85325,0.52743,1.35233,0.91145,1.50207,0.0013664,0.0013664,0.0013664
18,1446.5,1.19459,0.94272,1.37727,0.88221,0.75028,0.85587,0.52006,1.42631,0.89984,1.58193,0.0013268,0.0013268,0.0013268
